site,b_r,bag,outplant_time,shell_length,month,growth_rate
D,r,3,15.85714286,50.65,4,0.9050810809180032
D,r,3,15.85714286,63.23,4,1.6984144141083934
D,r,3,15.85714286,39.21,4,0.18363963960655136
D,r,3,15.85714286,62.72,4,1.6662522519520264
D,r,3,15.85714286,48.11,4,0.7449009007666844
D,r,3,15.85714286,44.84,4,0.5386846845876245
D,r,3,15.85714286,48.83,4,0.7903063061639085
D,r,3,15.85714286,51.64,4,0.9675135133391867
D,r,3,15.85714286,51.45,4,0.9555315313593638
D,r,3,15.85714286,56.46,4,1.2714774772483823
D,r,4,15.85714286,61.78,4,1.6069729726834283
D,r,4,15.85714286,48.03,4,0.7398558557225484
D,r,4,15.85714286,51.83,4,0.9794954953190096
D,r,4,15.85714286,47.83,4,0.7272432431122082
D,r,4,15.85714286,71.19,4,2.2003963959999284
D,r,4,15.85714286,52.46,4,1.019225225041581
D,r,4,15.85714286,64.1,4,1.7532792789633727
D,r,4,15.85714286,61.2,4,1.5703963961134422
D,r,4,15.85714286,47.48,4,0.705171171044113
D,r,4,15.85714286,64.32,4,1.7671531528347466
D,r,5,15.85714286,55.05,4,1.1825585583454847
D,r,5,15.85714286,43.81,4,0.47372972964437304
D,r,5,15.85714286,64,4,1.746972972658203
D,r,5,15.85714286,47.76,4,0.7228288286985892
D,r,5,15.85714286,63.84,4,1.7368828825699312
D,r,5,15.85714286,56.87,4,1.2973333330995793
D,r,5,15.85714286,45.19,4,0.5607567566557192
D,r,5,15.85714286,45.56,4,0.5840900899848487
D,r,5,15.85714286,50,4,0.8640900899343981
D,r,5,15.85714286,51.09,4,0.9328288286607517
D,b,1,15.85714286,58.18,4,1.3799459456973069
D,b,1,15.85714286,42.36,4,0.38228828821940736
D,b,1,15.85714286,41.17,4,0.3072432431878841
D,b,1,15.85714286,42.91,4,0.4169729728978424
D,b,1,15.85714286,55.53,4,1.212828828610301
D,b,1,15.85714286,43.38,4,0.4466126125321419
D,b,1,15.85714286,65.15,4,1.8194954951676587
D,b,1,15.85714286,40.28,4,0.25111711707187073
D,b,1,15.85714286,30.46,4,-0.3681621620958267
D,b,1,15.85714286,53.44,4,1.081027026832247
D,b,2,15.85714286,44.89,4,0.5418378377402093
D,b,2,15.85714286,40.71,4,0.27823423418410187
D,b,2,15.85714286,47.37,4,0.698234234108426
D,b,2,15.85714286,50.75,4,0.9113873872231734
D,b,2,15.85714286,47.78,4,0.7240900899596234
D,b,2,15.85714286,48.74,4,0.7846306304892557
D,b,2,15.85714286,56.22,4,1.2563423421159743
D,b,2,15.85714286,33.13,4,-0.19978378374778666
