date_time,temp,sal,cond,s_v
42942.70139,20.93,21.85,31.98,1509.2
42942.71181,20.67,21.84,31.8,1508.45
42942.72222,18.96,21.89,30.72,1503.55
42942.73264,18.64,21.93,30.55,1502.62
42942.74306,18.55,21.9,30.45,1502.32
42942.75347,18.49,21.93,30.45,1502.18
42942.76389,18.52,21.86,30.38,1502.18
42942.77431,18.52,21.91,30.45,1502.25
42942.78472,17.6,22.05,30.01,1499.6
42942.79514,17.72,22.01,30.03,1499.92
42942.80556,17.6,22,29.94,1499.53
42942.81597,16.33,22.29,29.46,1495.93
42942.82639,15.7,22.32,29.06,1493.92
42942.83681,15.52,22.35,28.98,1493.37
42942.84722,15.21,22.48,28.93,1492.53
42942.85764,14.54,22.67,28.7,1490.54
42942.86806,14.41,22.7,28.65,1490.15
42942.87847,14.26,22.71,28.56,1489.65
42942.88889,14.2,22.7,28.5,1489.43
42942.89931,14.17,22.74,28.53,1489.38
42942.90972,14.38,22.61,28.53,1489.94
42942.92014,15.91,22.35,29.25,1494.65
42942.93056,15.94,22.31,29.21,1494.7
42942.94097,15.24,22.43,28.89,1492.57
42942.95139,15.03,22.4,28.71,1491.83
42942.96181,14.87,22.44,28.66,1491.38
42942.97222,14.87,22.47,28.69,1491.41
42942.98264,14.84,22.43,28.63,1491.27
42942.99306,14.78,22.47,28.63,1491.11
42943.00347,14.81,22.45,28.63,1491.19
42943.01389,14.72,22.48,28.6,1490.92
42943.02431,14.72,22.45,28.57,1490.89
42943.03472,14.66,22.46,28.54,1490.7
42943.04514,14.72,22.45,28.57,1490.89
42943.05556,14.66,22.46,28.54,1490.7
42943.06597,14.57,22.47,28.49,1490.39
42943.07639,15.06,22.33,28.65,1491.85
42943.08681,16.39,22.12,29.29,1495.92
42943.09722,17.15,21.98,29.62,1498.13
42943.10764,17.12,22,29.62,1498.05
42943.11806,17.03,22.02,29.59,1497.8
42943.12847,17.18,22.02,29.69,1498.26
42943.13889,17.48,21.98,29.84,1499.15
42943.14931,17.63,21.95,29.9,1499.57
42943.15972,18.01,21.89,30.09,1500.7
42943.17014,18.49,21.85,30.35,1502.08
42943.18056,18.7,21.81,30.44,1502.67
42943.19097,18.76,21.84,30.51,1502.87
42943.20139,18.79,21.82,30.51,1502.94
42943.21181,18.79,21.82,30.51,1502.94
42943.22222,18.76,21.81,30.47,1502.84
42943.23264,18.82,21.8,30.51,1503.01
42943.24306,18.73,21.8,30.44,1502.73
42943.25347,18.73,21.8,30.44,1502.73
42943.26389,18.76,21.81,30.47,1502.84
42943.27431,18.84,21.81,30.54,1503.11
42943.28472,18.82,21.78,30.47,1502.97
42943.29514,18.73,21.83,30.48,1502.77
42943.30556,18.22,21.86,30.18,1501.29
42943.31597,18.31,21.86,30.25,1501.56
42943.32639,18.43,21.85,30.31,1501.91
42943.33681,18.43,21.88,30.35,1501.94
42943.34722,17.69,22,30,1499.81
42943.35764,17.15,22.06,29.72,1498.22
42943.36806,16.85,22.1,29.57,1497.33
42943.37847,18.07,21.92,30.16,1500.9
42943.38889,18.52,21.83,30.34,1502.15
